trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R
1,Long,2023-06-22,signal bar close,2023-06-23,129.11000061035156,3.396421799053551,120.61894611271768,2,1,2023-07-21,129.2419005363409,ATR_STOP,20,True,False,0.0010216089022212493,2023-07-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.058399761834779795,-0.024707632455471362,0.058399761834779795,0.058399761834779795,-0.024707632455471362,-0.024707632455471362,2023-07-14,14,0.017493374461209417,0.057378152932558546,20,True,0,,0.06576604800165342,0.015533986506161434,0.8879925677351264
2,Long,2023-08-04,signal bar close,2023-08-07,140.99000549316406,4.056308295847553,130.84923475354518,2,1,2023-08-18,131.6199951171875,ATR_STOP,10,True,False,-0.06645868509048936,2023-08-18,OPEN,TRAILING_STOP,False,True,0.01099360048641107,-0.06645868509048936,0.01099360048641107,0.01099360048641107,-0.06645868509048936,-0.06645868509048936,2023-08-07,0,-6.045215593620795,0.07745228557690043,20,True,11,0.0,0.07192545814965987,-0.9239939070280867,0.15284713881885867
3,Long,2023-12-13,signal bar close,2023-12-14,149.92999267578125,3.2215110525274433,141.87621504446264,2,1,2024-01-02,148.6158636590482,ATR_STOP,12,True,False,-0.008764950849926456,2024-01-02,INTRABAR_STOP,TRAILING_STOP,True,True,0.038017824888161966,-0.02941365049524658,0.038017824888161966,0.038017824888161966,-0.02941365049524658,-0.02941365049524658,2023-12-20,4,-0.23054845656505973,0.04678277573808842,20,True,8,0.04828924062459161,0.05371692139500495,-0.16316926998615178,0.7077439268829203
4,Long,2024-01-11,signal bar close,2024-01-12,155.38999938964844,3.119550805376982,147.591122376206,2,1,2024-02-13,166.0463066935926,ATR_STOP,22,True,False,0.06857781933072116,2024-02-13,INTRABAR_STOP,TRAILING_STOP,True,True,0.12870841160021484,-0.03526607728337583,0.12870841160021484,0.12870841160021484,-0.03526607728337583,-0.03526607728337583,2024-02-12,20,0.532815365197209,0.06013059226949369,20,True,0,,0.050189053633280245,1.3663899668601713,2.564471777863303
5,Long,2024-02-29,signal bar close,2024-03-01,176.75,3.489189698518892,168.02702575370276,2,1,2024-03-11,171.7043766492959,ATR_STOP,7,True,False,-0.028546666764945328,2024-03-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.01917962879574797,,0.01917962879574797,0.01917962879574797,-0.029872694649487275,-0.028546666764945328,2024-03-04,1,-1.4883847372100332,0.0477262955606933,20,True,13,0.028005640442671398,0.04935204665514705,-0.5784292384957883,0.38862884309069845
6,Long,2024-04-11,signal bar close,2024-04-12,187.72000122070312,3.507585147529751,178.95103835187874,2,1,2024-04-18,179.6553844974335,ATR_STOP,5,True,False,-0.042960881476811985,2024-04-18,INTRABAR_STOP,TRAILING_STOP,True,True,0.00516727687191243,,0.00516727687191243,0.00516727687191243,-0.0483166805094738,-0.042960881476811985,2024-04-15,1,-8.314027396196401,0.048128158348724415,20,True,15,0.021201767002226646,0.046712991752619296,-0.9196773716468948,0.11061755366209636
7,Long,2024-06-27,signal bar close,2024-06-28,197.72999572753906,4.134662726859446,187.39333891039044,2,1,2024-07-15,191.58905099860456,ATR_STOP,11,True,False,-0.03105722379823639,2024-07-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.017549189782437358,,0.017549189782437358,0.017549189782437358,-0.034896040285117835,-0.03105722379823639,2024-07-08,5,-1.7697240831777556,0.048606413580673746,20,True,9,0.0,0.05227662489505113,-0.594093896853247,0.33569859985545253
8,Long,2024-11-07,signal bar close,2024-11-08,209.72000122070312,4.992047636979306,197.23988212825486,2,1,2024-11-15,203.8925237396043,ATR_STOP,6,True,False,-0.027786941861430603,2024-11-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.029467826815801068,,0.029467826815801068,0.029467826815801068,-0.04820713595033832,-0.027786941861430603,2024-11-14,4,-0.9429586387595725,0.05725476867723167,20,True,14,0.08311077901167119,0.059508482833330496,-0.46694085512573735,0.49518699541263117
9,Long,2024-12-04,signal bar close,2024-12-05,218.02999877929688,5.094593791013902,205.29351430176212,2,1,2024-12-18,220.37767506543227,ATR_STOP,10,True,False,0.010767675545931832,2024-12-18,INTRABAR_STOP,TRAILING_STOP,True,True,0.06866028209199171,-0.003348143519819047,0.06866028209199171,0.06866028209199171,-0.003348143519819047,-0.003348143519819047,2024-12-16,7,0.15682539042739727,0.05789260654605988,20,True,10,0.05095629350343556,0.058416202122843645,0.18432686745517018,1.1753636764609543
10,Long,2025-06-27,signal bar close,2025-06-30,223.52000427246094,5.20200117514797,210.515001334591,2,1,2025-08-01,217.2100067138672,ATR_STOP,24,True,False,-0.02823012454358287,2025-08-01,OPEN,TRAILING_STOP,False,True,0.058205056630981966,-0.02823012454358287,0.058205056630981966,0.058205056630981966,-0.02823012454358287,-0.02823012454358287,2025-07-31,22,-0.4850115467211187,0.08643518117456483,20,True,0,,0.0581827249878602,-0.48519770343298757,1.0003838191340544
11,Long,2025-11-03,signal bar close,2025-11-04,250.3800048828125,7.390931229662513,231.90267680865622,2,1,2025-11-07,238.82917550683499,ATR_STOP,4,True,False,-0.04613319414776651,2025-11-07,INTRABAR_STOP,TRAILING_STOP,True,True,0.026479769764025773,,0.026479769764025773,0.026479769764025773,-0.04748781515206624,-0.04613319414776651,2025-11-04,0,-1.7422052592934927,0.07261296391179228,20,True,16,0.005471663433462615,0.07379713920368512,-0.6251352646670456,0.3588183776465888
12,Long,2026-08-03,signal bar close,2026-08-04,276.05999755859375,9.947753365833963,251.19061414400883,2,1,2026-08-17,262.3525674825546,ATR_STOP,10,True,False,-0.04965380785794482,2026-08-17,INTRABAR_STOP,TRAILING_STOP,True,True,0.024378798253447354,,0.024378798253447354,0.024378798253447354,-0.06418894942191711,-0.04965380785794482,2026-08-05,1,-2.03676191671685,0.07403260611139217,20,True,10,0.0,0.09008687833993909,-0.5511769169154496,0.2706143081288151
13,Long,2026-08-28,signal bar close,2026-08-31,263.8299865722656,7.03706148830455,246.23733285150425,2,1,2026-09-02,254.25999450683594,TREND_EXIT,3,True,False,-0.036273329615655214,2026-09-02,OPEN,,False,True,0.0020088648230731643,-0.04510478149618846,0.0020088648230731643,0.0020088648230731643,-0.04510478149618846,-0.04510478149618846,2026-08-31,0,-18.056630390970867,0.03828219443872838,20,False,13,,0.06668178226944106,-0.5439766062203554,0.030126141724226035
