trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R
1,Long,2021-11-19,signal bar close,2021-11-22,33.516998291015625,1.394812536729291,31.42477948592169,2,1,2021-11-23,31.53499984741211,ATR_STOP,2,True,False,-0.059134127298469896,2021-11-23,OPEN,TRAILING_STOP,False,True,0.033714268154440896,-0.059134127298469896,0.033714268154440896,0.033714268154440896,-0.059134127298469896,-0.059134127298469896,2021-11-22,0,-1.7539792656208275,0.09284839545291079,20,True,19,0.0,0.062422618724027074,-0.9473189127150251,0.5400969847723474
2,Long,2023-02-07,signal bar close,2023-02-08,22.386999130249023,0.9463191674461461,20.967520379079804,2,1,2023-02-10,21.613077410305586,ATR_STOP,3,True,False,-0.03457014115383261,2023-02-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.028275398762996673,,0.028275398762996673,0.028275398762996673,-0.07039792591696425,-0.03457014115383261,2023-02-09,1,-1.222622585930555,0.06284553991682928,20,True,17,0.08312860737643923,0.06340638791785352,-0.5452154315842772,0.44593927664873473
3,Long,2023-02-23,signal bar close,2023-02-24,23.225000381469727,1.1338466131381886,21.524230461762443,2,1,2023-03-10,22.994062553128735,ATR_STOP,11,True,False,-0.00994350159517099,2023-03-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.05291711825043932,-0.03414429114754547,0.05291711825043932,0.05291711825043932,-0.03414429114754547,-0.03414429114754547,2023-03-09,9,-0.18790708798827,0.06286061984561031,20,True,9,0.1879009794943396,0.07323013527544474,-0.13578428549626356,0.7226139628364622
4,Long,2023-03-16,signal bar close,2023-03-17,25.98200035095215,1.0366068377082283,24.427090094389804,2,1,2023-03-28,26.092135582728925,ATR_STOP,8,True,False,0.004238905022289519,2023-03-28,INTRABAR_STOP,TRAILING_STOP,True,True,0.061850524564913245,-0.0327919782417494,0.061850524564913245,0.061850524564913245,-0.0327919782417494,-0.0327919782417494,2023-03-22,3,0.06853466566545788,0.05761161954262373,20,True,12,0.07766914101261246,0.05984567144790152,0.07083060344606018,1.0335003863856227
5,Long,2023-05-01,signal bar close,2023-05-02,28.68000030517578,0.8697771311113578,27.375334608508744,2,1,2023-05-03,27.535918045852636,ATR_STOP,2,True,False,-0.03989129174160699,2023-05-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.005439335274377566,,0.005439335274377566,0.005439335274377566,-0.04211995014823855,-0.03989129174160699,2023-05-02,0,-7.333854180586769,0.04533062701598456,20,True,18,0.4622733360910527,0.04549043524353061,-0.8769160270296624,0.11957096574825841
6,Long,2023-05-17,signal bar close,2023-05-18,30.40999984741211,0.8540335004865265,29.128949596682318,2,1,2023-05-24,30.209999084472656,ATR_STOP,5,True,False,-0.006576809074087309,2023-05-24,OPEN,TRAILING_STOP,False,True,0.04662937437333792,-0.006576809074087309,0.04662937437333792,0.04662937437333792,-0.006576809074087309,-0.006576809074087309,2023-05-18,0,-0.14104433444528144,0.053206183447425226,20,True,16,0.4235120579432572,0.04212595386904642,-0.15612249622957164,1.1069037040274725
7,Long,2023-05-25,signal bar close,2023-05-26,37.88999938964844,1.4550254553281163,35.70746120665626,2,1,2023-05-31,39.487998962402344,ATR_STOP,3,True,False,0.042174705687392455,2023-05-31,OPEN,TRAILING_STOP,False,True,0.10683558724995046,-0.008973348061884101,0.10683558724995046,0.10683558724995046,-0.008973348061884101,-0.008973348061884101,2023-05-30,1,0.3947627075678569,0.064660881562558,20,True,18,0.16099240926577796,0.0576019587793513,0.7321748527501623,1.854721428123518
8,Long,2023-06-14,signal bar close,2023-06-15,42.60200119018555,1.5895754129290793,40.21763807079193,2,1,2023-06-26,41.79262410040011,ATR_STOP,7,True,False,-0.01899856971911207,2023-06-26,INTRABAR_STOP,TRAILING_STOP,True,True,0.032580640568617536,,0.032580640568617536,0.032580640568617536,-0.05872969921987736,-0.01899856971911207,2023-06-20,2,-0.583124499320371,0.051579210287729604,20,True,13,0.12877329486341105,0.05596833605889194,-0.3394521091197186,0.5821263032428727
9,Long,2023-07-12,signal bar close,2023-07-13,44.518001556396484,1.3272487596621663,42.52712841690324,2,1,2023-07-17,45.82280213960911,ATR_STOP,3,True,False,0.02930950486534467,2023-07-17,INTRABAR_STOP,TRAILING_STOP,True,True,0.08019227211494795,-0.0005840553406145643,0.08019227211494795,0.08019227211494795,-0.0005840553406145643,-0.0005840553406145643,2023-07-14,1,0.3654903906866774,0.05088276724960328,20,True,17,0.07587937989021021,0.04472063142751724,0.6553911232861107,1.79318291256515
10,Long,2023-08-21,signal bar close,2023-08-22,48.1349983215332,1.7902070463212223,45.44968775205137,2,1,2023-08-22,45.44968775205137,ATR_STOP,1,True,False,-0.055787071011085154,2023-08-22,INTRABAR_STOP,INITIAL_STOP,True,True,,,0.0,0.0010803356172910394,-0.05821124412866674,-0.055787071011085154,,,,,20,True,19,0.04427133256688043,0.055787071011085106,-1.0000000000000009,
11,Long,2024-02-02,signal bar close,2024-02-05,68.2249984741211,1.7622762912585965,65.5815840372332,2,1,2024-02-06,66.68486702949905,ATR_STOP,2,True,False,-0.022574297970944568,2024-02-06,INTRABAR_STOP,TRAILING_STOP,True,True,,,0.02059360660637921,0.022411130272040447,-0.028215397074628945,-0.022574297970944568,,,,,20,True,18,0.28537928407705904,0.038745540432523234,-0.5826295805644659,
12,Long,2024-02-07,signal bar close,2024-02-08,70.0739974975586,2.0327336933345053,67.02489695755683,2,1,2024-02-13,70.4000015258789,ATR_STOP,4,True,False,0.0046522824437362775,2024-02-13,OPEN,TRAILING_STOP,False,True,0.06474587900646922,-0.008833457325243543,0.06474587900646922,0.06474587900646922,-0.008833457325243543,-0.008833457325243543,2024-02-12,2,0.07185449506788587,0.06009359656273294,20,True,17,0.32384338847298766,0.0435125816834981,0.10691809733506641,1.487980636897574
13,Long,2024-03-04,signal bar close,2024-03-05,85.2699966430664,3.1091497931339656,80.60627195336546,2,1,2024-03-08,87.97553976382855,ATR_STOP,4,True,False,0.03172913366101482,2024-03-08,INTRABAR_STOP,TRAILING_STOP,True,True,,-0.02173093584052055,0.11572656542396209,0.14225407951624258,-0.02173093584052055,-0.02173093584052055,,,,,20,True,16,0.13481884191208549,0.05469361877921647,0.5801249646525832,
